month_start,sin_time,cos_time,lin_pred,rel_hazard
1,0.49999999999999994,0.8660254037844387,-0.15489956619367545,0.8603196413177443
2,0.8660254037844386,0.5000000000000001,-0.18497734233395252,0.8348284210834166
3,1,6.123031769111886e-17,-0.16668250291061898,0.8502420379049735
4,0.8660254037844387,-0.4999999999999998,-0.10491713537281432,0.9044132826233686
5,0.49999999999999994,-0.8660254037844387,-0.016231220072504576,0.9882862102307289
6,1.2246063538223773e-16,-1,0.07561192360557709,1.0833522910607747
7,-0.4999999999999997,-0.8660254037844388,0.14600299948255327,1.1623586769079322
8,-0.8660254037844384,-0.5000000000000004,0.1760807756228303,1.197850929299015
9,-1,-1.836909530733566e-16,0.1577859361994968,1.1761356830391911
10,-0.8660254037844386,0.5000000000000001,0.09602056866169208,1.105689201179542
11,-0.5000000000000004,0.8660254037844384,0.007334653361382518,1.0118526289732772
12,-2.4492127076447545e-16,1,-0.08450849031669926,0.9230607700297014
